,id,date_taken,Time Spent,curent_role,Q2 - Did you switch careers into Data?,salary,Q4 - What Industry do you work in?,language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity,sal_min,sal_max
13,62a33d1ebae91e4b8b82e707,2022-06-10,0:00:55,Data Scientist,Yes,20.0,Education,Python,3.0,10.0,10.0,6.0,7.0,8.0,Easy,Good Work/Life Balance,Male,30.0,United Kingdom,,White or Caucasian,0.0,40.0
14,62a33d4624a26260273824c4,2022-06-10,0:01:24,Data Analyst,No,53.0,Construction,R,4.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,31.0,United States,,White or Caucasian,41.0,65.0
15,62a33d5c0f8c8599d5af107c,2022-06-10,0:00:47,Data Analyst,Yes,53.0,Finance,Python,4.0,10.0,7.0,7.0,7.0,5.0,Difficult,Good Culture,Male,29.0,United States,,White or Caucasian,41.0,65.0
16,62a33d850f8c8599d5af10cb,2022-06-10,0:01:06,Data Analyst,Yes,20.0,Tech,Python,1.0,2.0,4.0,2.0,2.0,2.0,Neither easy nor difficult,Better Salary,Male,22.0,Other (Please Specify):Niger,,Black or African American,0.0,40.0
17,62a33d9bf8f7561645852496,2022-06-10,0:01:04,Student/Looking/None,Yes,20.0,Other (Please Specify):Retail,Python,1.0,3.0,2.0,2.0,4.0,1.0,Difficult,Better Salary,Male,23.0,United States,,Black or African American,0.0,40.0
18,62a33dbdd8c00e9f5419cd65,2022-06-10,0:01:05,Student/Looking/None,No,53.0,Tech,R,7.0,8.0,8.0,6.0,8.0,3.0,Very Difficult,Better Salary,Female,26.0,Canada,,Asian or Asian American,41.0,65.0
19,62a33de124a26260273826b2,2022-06-10,0:01:21,Data Analyst,No,20.0,Other (Please Specify):Aviation,Python,1.0,1.0,1.0,1.0,2.0,0.0,Very Difficult,Better Salary,Male,28.0,Other (Please Specify):Nigeria,,Black or African American,0.0,40.0
20,62a33dedd8c00e9f5419ce2b,2022-06-10,0:01:23,Data Analyst,Yes,53.0,Finance,Python,5.0,5.0,5.0,5.0,5.0,5.0,Easy,Remote Work,Male,29.0,Other (Please Specify):Kenya,,Black or African American,41.0,65.0
21,62a33dfbd8c00e9f5419ceda,2022-06-10,0:01:35,Data Analyst,Yes,115.5,Tech,Other,10.0,5.0,10.0,6.0,10.0,10.0,Neither easy nor difficult,Remote Work,Female,31.0,United States,,White or Caucasian,106.0,125.0
22,62a33e38f3072dd8926221d3,2022-06-10,0:01:25,Data Analyst,Yes,20.0,Healthcare,Python,5.0,6.0,8.0,8.0,7.0,1.0,Neither easy nor difficult,Remote Work,Male,28.0,Other (Please Specify):Azerbaijan,,White or Caucasian,0.0,40.0
23,62a33e54d8c00e9f5419cfe9,2022-06-10,0:01:47,Data Analyst,No,20.0,Finance,Python,4.0,4.0,4.0,4.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,32.0,Other (Please Specify):Argentina,,Hispanic or Latino,0.0,40.0
24,62a33e62575fa3a5ae88aabf,2022-06-10,0:02:14,Data Analyst,No,20.0,Tech,Python,7.0,8.0,8.0,8.0,3.0,8.0,Easy,Better Salary,Male,24.0,Other (Please Specify):Sudan,,Black or African American,0.0,40.0
25,62a33e63cec54911e9ca4f99,2022-06-10,0:02:21,Data Analyst,No,20.0,Tech,Python,4.0,6.0,6.0,6.0,7.0,7.0,Easy,Good Work/Life Balance,Male,31.0,India,,Asian or Asian American,0.0,40.0
26,62a33e72bae91e4b8b82ea1a,2022-06-10,0:02:07,Data Analyst,No,75.5,Other (Please Specify):Insurance,Other,7.0,10.0,5.0,5.0,5.0,2.0,Difficult,Other (Please Specify):Responsibilities,Male,23.0,United States,,White or Caucasian,66.0,85.0
27,62a33e890f8c8599d5af13b9,2022-06-10,0:01:20,Data Analyst,Yes,115.5,Other (Please Specify):Energy,Python,1.0,6.0,9.0,1.0,0.0,2.0,Difficult,Remote Work,Female,33.0,United States,,Asian or Asian American,106.0,125.0
28,62a33e8bf8d5efcc22f7c79a,2022-06-10,0:01:34,Data Analyst,No,95.5,Healthcare,Other,6.0,7.0,7.0,7.0,7.0,4.0,Very Easy,Better Salary,Male,43.0,United States,,White or Caucasian,86.0,105.0
29,62a33e90cec54911e9ca5031,2022-06-10,0:01:34,Student/Looking/None,Yes,20.0,Other (Please Specify):Oil and gas,R,0.0,0.0,5.0,0.0,0.0,0.0,Very Difficult,Remote Work,Female,23.0,Other (Please Specify):Nigeria,,Other (Please Specify):African,0.0,40.0
30,62a33e9df8f756164585277b,2022-06-10,0:01:47,Student/Looking/None,Yes,53.0,Finance,Python,10.0,7.0,10.0,10.0,5.0,3.0,Very Difficult,Good Work/Life Balance,Male,31.0,United States,,Black or African American,41.0,65.0
31,62a33eb6bc6861bf3176c5a3,2022-06-10,0:01:38,Data Analyst,Yes,75.5,Finance,Python,5.0,6.0,7.0,5.0,4.0,4.0,Neither easy nor difficult,Other (Please Specify):Development,Male,31.0,United Kingdom,,White or Caucasian,66.0,85.0
32,62a33ee0bae91e4b8b82eaec,2022-06-10,0:03:30,Data Analyst,Yes,20.0,Other (Please Specify),Python,8.0,7.0,8.0,7.0,7.0,7.0,Difficult,Good Work/Life Balance,Male,25.0,India,,Asian or Asian American,0.0,40.0
33,62a33ee80f8c8599d5af14b7,2022-06-10,0:01:37,Data Engineer,No,137.5,Tech,Other,8.0,10.0,10.0,9.0,9.0,9.0,Easy,Better Salary,Male,43.0,United States,,White or Caucasian,125.0,150.0
34,62a33efe0a77c1a77f65bf1e,2022-06-10,0:02:08,Data Analyst,No,53.0,Finance,Python,2.0,3.0,5.0,5.0,5.0,5.0,Difficult,Better Salary,Female,26.0,Canada,,Other (Please Specify):South Asian,41.0,65.0
35,62a33f0ef408bae018ed3aeb,2022-06-10,0:03:54,Other,No,53.0,Other (Please Specify):Automotive,Python,5.0,10.0,8.0,8.0,8.0,7.0,Neither easy nor difficult,Remote Work,Male,32.0,Other (Please Specify):Japan,,White or Caucasian,41.0,65.0
36,62a33f17f8f7561645852867,2022-06-10,0:02:28,Other,No,20.0,Tech,Python,2.0,9.0,7.0,7.0,5.0,6.0,Difficult,Better Salary,Male,31.0,Other (Please Specify):Greece,,White or Caucasian,0.0,40.0
37,62a33f52bc6861bf3176c72c,2022-06-10,0:01:33,Data Analyst,Yes,95.5,Healthcare,Other,3.0,5.0,6.0,4.0,4.0,5.0,Neither easy nor difficult,Better Salary,Male,29.0,United States,,White or Caucasian,86.0,105.0
38,62a33f56cf255543173005e9,2022-06-10,0:00:56,Data Analyst,Yes,20.0,Other (Please Specify):Automotive ,Python,3.0,1.0,3.0,2.0,3.0,1.0,Neither easy nor difficult,Good Culture,Male,24.0,Other (Please Specify):Perú ,,Hispanic or Latino,0.0,40.0
39,62a33f5a5d257a28a30d7bb5,2022-06-10,0:02:38,Student/Looking/None,Yes,53.0,Construction,Python,2.0,0.0,2.0,2.0,0.0,0.0,Very Difficult,Remote Work,Male,34.0,United States,,White or Caucasian,41.0,65.0
40,62a33fa5cec54911e9ca51f1,2022-06-10,0:01:52,Data Analyst,Yes,53.0,Other (Please Specify):Utili,Other,5.0,6.0,6.0,5.0,4.0,6.0,Very Difficult,Better Salary,Male,42.0,Other (Please Specify):Australia,,Other (Please Specify):Indian,41.0,65.0
41,62a33fcb575fa3a5ae88ad59,2022-06-10,0:02:03,Student/Looking/None,Yes,20.0,Other (Please Specify):Not working yet,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,Difficult,Remote Work,Female,40.0,United States,,Asian or Asian American,0.0,40.0
42,62a33fcf18134ddc75ce91c3,2022-06-10,0:02:32,Student/Looking/None,No,53.0,Telecommunication,Python,3.0,1.0,3.0,4.0,0.0,3.0,Easy,Good Work/Life Balance,Male,43.0,Other (Please Specify):Spain,,White or Caucasian,41.0,65.0
43,62a34006d8c00e9f5419d341,2022-06-10,0:02:39,Student/Looking/None,Yes,20.0,Construction,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Better Salary,Male,23.0,Other (Please Specify):Kenya ,,Other (Please Specify):Kenyan African ,0.0,40.0
44,62a34020575fa3a5ae88ade0,2022-06-10,0:01:11,Student/Looking/None,Yes,20.0,Education,Python,5.0,5.0,3.0,5.0,2.0,6.0,Difficult,Better Salary,Male,23.0,Other (Please Specify):Japan,,Asian or Asian American,0.0,40.0
45,62a34038b4da29969c62eafe,2022-06-10,0:03:55,Data Analyst,Yes,95.5,Other (Please Specify):Manufa,Python,8.0,6.0,2.0,3.0,6.0,7.0,Neither easy nor difficult,"Other (Please Specify):Strong organizational data strategy, high-performing team",Male,28.0,United States,,White or Caucasian,86.0,105.0
46,62a3406b575fa3a5ae88ae78,2022-06-10,0:01:25,Data Analyst,No,75.5,Finance,Other,5.0,7.0,1.0,1.0,0.0,8.0,Neither easy nor difficult,Better Salary,Male,32.0,United States,,White or Caucasian,66.0,85.0
47,62a340cab4da29969c62ec01,2022-06-10,0:02:47,Data Analyst,Yes,75.5,Other (Please Specify):Manufacturing (Chemicals),R,7.0,8.0,10.0,8.0,9.0,9.0,Difficult,Remote Work,Female,41.0,United States,,White or Caucasian,66.0,85.0
48,62a340d62e54c9003e5324b4,2022-06-10,0:00:56,Data Analyst,Yes,53.0,Finance,Python,5.0,6.0,6.0,6.0,6.0,6.0,Neither easy nor difficult,Remote Work,Male,33.0,United Kingdom,High School,White or Caucasian,41.0,65.0
49,62a340e10a77c1a77f65c2e7,2022-06-10,0:01:57,Other,Yes,187.5,Tech,Python,10.0,8.0,9.0,8.0,8.0,10.0,Easy,Good Work/Life Balance,Male,38.0,United States,,Hispanic or Latino,150.0,225.0
50,62a340f5bc6861bf3176caa4,2022-06-10,0:02:32,Data Analyst,No,20.0,Tech,Other,8.0,8.0,8.0,8.0,5.0,10.0,Easy,Better Salary,Female,22.0,India,,Other (Please Specify):Indian,0.0,40.0
51,62a34117cec54911e9ca54e7,2022-06-10,0:01:59,Student/Looking/None,Yes,20.0,Other (Please Specify):Currently studying . Previously worked in Power Generation,R,1.0,3.0,6.0,6.0,6.0,9.0,Difficult,Remote Work,Male,36.0,Other (Please Specify):Barbados,Bachelors,Black or African American,0.0,40.0
52,62a3413a5d257a28a30d8074,2022-06-10,0:01:18,Data Engineer,No,75.5,Finance,Python,2.0,1.0,1.0,1.0,3.0,7.0,Easy,Remote Work,Female,28.0,United States,Masters,Asian or Asian American,66.0,85.0
53,62a341a1f3072dd8926229a5,2022-06-10,0:08:11,Student/Looking/None,Yes,20.0,"Other (Please Specify):Not working at the moment, but previously I have been into Education industry",Other,,,,,,7.0,Very Easy,Other (Please Specify):I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Male,30.0,Other (Please Specify):South Africa,,"Other (Please Specify):Black African, Zimbabwean Citizen",0.0,40.0
54,62a341b0f8f7561645852d1d,2022-06-10,0:01:44,Data Analyst,Yes,75.5,Tech,Python,6.0,6.0,6.0,6.0,5.0,6.0,Difficult,Other (Please Specify):Currently very happy with where I am.,Female,24.0,United States,Bachelors,Hispanic or Latino,66.0,85.0
55,62a341e8f8d5efcc22f7d002,2022-06-10,0:01:58,Other,No,53.0,Other (Please Specify):Third Party Logistics ,C/C++,3.0,6.0,7.0,7.0,0.0,3.0,Very Difficult,Better Salary,Male,29.0,United States,Bachelors,White or Caucasian,41.0,65.0
56,62a34210cf25554317300c02,2022-06-10,0:02:15,Data Analyst,No,20.0,Tech,Python,4.0,9.0,10.0,9.0,9.0,10.0,Easy,Better Salary,Male,29.0,Other (Please Specify):Colombia,Associates,Hispanic or Latino,0.0,40.0
57,62a3424eb4da29969c62eedd,2022-06-10,0:02:04,Other,Yes,53.0,Other (Please Specify):Automotive,Python,6.0,8.0,8.0,7.0,9.0,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,38.0,Other (Please Specify):Germany,Masters,White or Caucasian,41.0,65.0
58,62a34256bae91e4b8b82f16d,2022-06-10,0:01:46,Data Analyst,Yes,20.0,Finance,Other,3.0,5.0,4.0,3.0,3.0,3.0,Difficult,Good Work/Life Balance,Male,31.0,Other (Please Specify):Bulgaria,Masters,White or Caucasian,0.0,40.0
59,62a3426cf408bae018ed409b,2022-06-10,0:01:33,Student/Looking/None,No,20.0,Tech,Python,1.0,4.0,5.0,5.0,1.0,1.0,Difficult,Better Salary,Male,25.0,United States,Masters,White or Caucasian,0.0,40.0
60,62a34272f8d5efcc22f7d15f,2022-06-10,0:01:09,Data Analyst,No,75.5,Telecommunication,Python,4.0,6.0,4.0,5.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,24.0,United States,Masters,White or Caucasian,66.0,85.0
61,62a34340bc6861bf3176d05b,2022-06-10,0:04:03,Other,Yes,53.0,Tech,Python,6.0,7.0,4.0,3.0,9.0,8.0,Difficult,Better Salary,Male,28.0,Other (Please Specify):Turkey,Bachelors,White or Caucasian,41.0,65.0
62,62a34383b4da29969c62f1be,2022-06-10,0:01:03,Student/Looking/None,No,20.0,Tech,Python,7.0,5.0,8.0,0.0,0.0,0.0,Neither easy nor difficult,Good Culture,Female,23.0,India,Bachelors,Asian or Asian American,0.0,40.0
63,62a34389cec54911e9ca5a22,2022-06-10,0:01:01,Data Engineer,No,20.0,Tech,R,2.0,3.0,2.0,5.0,5.0,7.0,Neither easy nor difficult,Remote Work,Male,21.0,Other (Please Specify):Spain,Masters,Hispanic or Latino,0.0,40.0
64,62a343a22e54c9003e532a2a,2022-06-10,0:02:43,Data Analyst,No,20.0,Other (Please Specify):Energy,Python,4.0,4.0,4.0,4.0,5.0,6.0,Neither easy nor difficult,Remote Work,Male,29.0,Other (Please Specify):France,Bachelors,Other (Please Specify):Human,0.0,40.0
65,62a343d9f3072dd892622fe4,2022-06-10,0:03:15,Data Analyst,Yes,53.0,Tech,Python,5.0,6.0,7.0,7.0,7.0,6.0,Difficult,Better Salary,Male,25.0,United States,Bachelors,Asian or Asian American,41.0,65.0
66,62a34400d8c00e9f5419dc2b,2022-06-10,0:01:24,Data Analyst,No,53.0,Tech,Python,6.0,6.0,6.0,6.0,3.0,5.0,Difficult,Good Culture,Male,27.0,Other (Please Specify):Germany,Masters,Black or African American,41.0,65.0
67,62a34425f8d5efcc22f7d525,2022-06-10,0:01:28,Data Analyst,Yes,53.0,Tech,Python,3.0,9.0,10.0,8.0,9.0,9.0,Easy,Better Salary,Male,23.0,India,Bachelors,Asian or Asian American,41.0,65.0
68,62a34449575fa3a5ae88b637,2022-06-10,0:02:36,Other,No,95.5,Other (Please Specify):Food & Beverage ,R,4.0,3.0,3.0,5.0,5.0,5.0,Difficult,Better Salary,Male,32.0,United States,Masters,Asian or Asian American,86.0,105.0
69,62a3445dcf255543173011e1,2022-06-10,0:02:41,Student/Looking/None,Yes,115.5,Healthcare,Python,5.0,5.0,7.0,5.0,7.0,7.0,Neither easy nor difficult,Remote Work,Male,22.0,India,Bachelors,Asian or Asian American,106.0,125.0
70,62a3447a575fa3a5ae88b6c0,2022-06-10,0:04:14,Data Analyst,No,20.0,Tech,Python,2.0,9.0,9.0,8.0,6.0,2.0,Easy,Better Salary,Male,25.0,Other (Please Specify):Thailand,Bachelors,Asian or Asian American,0.0,40.0
71,62a3449f7dc029e2d66bf5d1,2022-06-10,0:01:15,Data Analyst,Yes,20.0,Telecommunication,Python,2.0,8.0,6.0,6.0,5.0,5.0,Neither easy nor difficult,Remote Work,Female,36.0,Other (Please Specify):Germany,Masters,White or Caucasian,0.0,40.0
72,62a344c5f408bae018ed4806,2022-06-10,0:02:21,Data Analyst,Yes,115.5,Tech,Other,10.0,6.0,9.0,5.0,8.0,7.0,Easy,Good Work/Life Balance,Female,27.0,United States,Bachelors,White or Caucasian,106.0,125.0
73,62a344c6f8d5efcc22f7d6e1,2022-06-10,0:02:17,Other,Yes,20.0,Tech,Python,5.0,5.0,5.0,5.0,5.0,1.0,Neither easy nor difficult,Other (Please Specify):My passion is to become a Data analyst ,Male,23.0,India,Bachelors,Asian or Asian American,0.0,40.0
74,62a344e1f3072dd892623328,2022-06-10,0:01:32,Student/Looking/None,Yes,20.0,Tech,Other,2.0,3.0,3.0,3.0,3.0,6.0,Very Difficult,Better Salary,Male,26.0,Other (Please Specify):Netherlands,Bachelors,Black or African American,0.0,40.0
75,62a3450424a262602738357f,2022-06-10,0:01:19,Other,No,95.5,Healthcare,Python,9.0,10.0,10.0,10.0,10.0,10.0,Very Easy,Good Work/Life Balance,Female,33.0,United States,PhD,Hispanic or Latino,86.0,105.0
76,62a3452818134ddc75ce9e1b,2022-06-10,0:01:33,Data Analyst,Yes,115.5,Other (Please Specify):Automotive,Python,3.0,5.0,3.0,3.0,5.0,5.0,Easy,Better Salary,Male,27.0,Other (Please Specify):Turkey,Masters,White or Caucasian,106.0,125.0
77,62a345490a77c1a77f65cc5b,2022-06-10,0:01:38,Data Analyst,Yes,53.0,Education,R,3.0,6.0,5.0,4.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,42.0,United States,Associates,White or Caucasian,41.0,65.0
78,62a3455bbc6861bf3176d57a,2022-06-10,0:02:36,Data Analyst,Yes,20.0,Tech,Python,6.0,7.0,8.0,7.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29.0,Other (Please Specify):Spain,Masters,White or Caucasian,0.0,40.0
79,62a3457bf8d5efcc22f7da17,2022-06-10,0:01:08,Data Analyst,No,137.5,Tech,Python,4.0,7.0,6.0,4.0,2.0,4.0,Easy,Better Salary,Female,27.0,United States,Masters,Asian or Asian American,125.0,150.0
80,62a345b2bae91e4b8b82fad6,2022-06-10,0:01:41,Student/Looking/None,No,53.0,Healthcare,Python,0.0,10.0,10.0,10.0,4.0,2.0,Neither easy nor difficult,Remote Work,Female,39.0,United States,Bachelors,Hispanic or Latino,41.0,65.0
81,62a345c47dc029e2d66bf80a,2022-06-10,0:01:36,Data Analyst,Yes,53.0,Telecommunication,Python,6.0,6.0,7.0,5.0,6.0,7.0,Difficult,Good Culture,Male,31.0,Other (Please Specify):Denmark,Masters,White or Caucasian,41.0,65.0
82,62a345e25d257a28a30d8b43,2022-06-10,0:03:09,Data Analyst,Yes,75.5,Other (Please Specify):Marketing,Python,7.0,7.0,5.0,9.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29.0,Other (Please Specify):Brazil,Bachelors,Hispanic or Latino,66.0,85.0
83,62a34646f8d5efcc22f7dc5c,2022-06-10,0:01:22,Data Analyst,Yes,75.5,Education,R,7.0,7.0,7.0,7.0,4.0,7.0,Easy,Remote Work,Male,31.0,United States,Masters,White or Caucasian,66.0,85.0
84,62a34687f408bae018ed4c52,2022-06-10,0:01:30,Data Analyst,Yes,20.0,Finance,Python,10.0,9.0,9.0,10.0,9.0,10.0,Neither easy nor difficult,Good Culture,Male,30.0,Other (Please Specify):Mexico,Masters,Hispanic or Latino,0.0,40.0
85,62a346a37dc029e2d66bfa6d,2022-06-10,0:03:05,Data Engineer,Yes,20.0,Tech,Python,7.0,8.0,6.0,5.0,5.0,9.0,Difficult,Better Salary,Male,33.0,Other (Please Specify):Mexico,Masters,Hispanic or Latino,0.0,40.0
86,62a346a95d257a28a30d8cb9,2022-06-10,0:00:58,Data Analyst,No,75.5,Other (Please Specify):Retail,Python,7.0,8.0,9.0,7.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,25.0,United States,Bachelors,White or Caucasian,66.0,85.0
87,62a346b4bc6861bf3176d7ce,2022-06-10,0:01:09,Student/Looking/None,No,20.0,Tech,R,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,23.0,India,Bachelors,Other (Please Specify):Indian,0.0,40.0
88,62a346cef8f756164585385b,2022-06-10,0:01:51,Data Analyst,Yes,53.0,Other (Please Specify):Advertising,Other,4.0,4.0,3.0,3.0,5.0,6.0,Very Difficult,Better Salary,Male,33.0,United States,Bachelors,Asian or Asian American,41.0,65.0
89,62a346d724a2626027383abd,2022-06-10,0:02:29,Other,Yes,75.5,Other (Please Specify):Logistics,Python,7.0,9.0,9.0,8.0,8.0,9.0,Neither easy nor difficult,Good Work/Life Balance,Male,35.0,Other (Please Specify):Chile,Bachelors,Hispanic or Latino,66.0,85.0
90,62a346d90a77c1a77f65d08d,2022-06-10,0:02:39,Data Analyst,No,53.0,Other (Please Specify):Staffing and Recruting ,Python,6.0,8.0,5.0,,6.0,9.0,Neither easy nor difficult,Remote Work,Female,42.0,Other (Please Specify):Greece,Masters,White or Caucasian,41.0,65.0
91,62a34726f8d5efcc22f7dec7,2022-06-10,0:01:14,Data Analyst,No,75.5,Tech,Python,3.0,4.0,2.0,1.0,0.0,4.0,Neither easy nor difficult,Better Salary,Male,25.0,United States,Bachelors,White or Caucasian,66.0,85.0
92,62a3476c5d257a28a30d8e6d,2022-06-10,0:03:00,Data Analyst,No,95.5,Other (Please Specify):Automotive,Python,5.0,4.0,5.0,4.0,3.0,6.0,Neither easy nor difficult,"Other (Please Specify):Different job title, either product owner or consulting",Male,23.0,United States,Bachelors,White or Caucasian,86.0,105.0
93,62a347b4f8f7561645853a98,2022-06-10,0:02:02,Other,No,53.0,Healthcare,JavaScript,2.0,4.0,6.0,5.0,3.0,4.0,Easy,Better Salary,Female,51.0,United States,Bachelors,Black or African American,41.0,65.0
94,62a347f6b4da29969c62fb79,2022-06-10,0:01:45,Data Analyst,No,20.0,Telecommunication,Other,1.0,4.0,4.0,3.0,2.0,6.0,Very Difficult,Better Salary,Male,30.0,United Kingdom,Bachelors,Black or African American,0.0,40.0
95,62a3483018134ddc75cea4e6,2022-06-10,0:01:41,Data Analyst,Yes,53.0,Finance,Python,8.0,9.0,9.0,9.0,9.0,8.0,Very Difficult,Better Salary,Male,23.0,India,Bachelors,Asian or Asian American,41.0,65.0
96,62a348650f8c8599d5af2b77,2022-06-10,0:01:06,Other,Yes,53.0,Other (Please Specify):Advertising,R,3.0,5.0,5.0,6.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,24.0,Canada,Bachelors,Asian or Asian American,41.0,65.0
97,62a3489318134ddc75cea659,2022-06-10,0:01:06,Student/Looking/None,Yes,53.0,Tech,Python,6.0,6.0,6.0,6.0,6.0,6.0,Easy,Good Culture,Male,25.0,Other (Please Specify):Australia,Masters,Asian or Asian American,41.0,65.0
98,62a348bf2e54c9003e533634,2022-06-10,0:02:22,Data Analyst,Yes,53.0,Finance,Python,4.0,4.0,6.0,4.0,5.0,6.0,Difficult,Better Salary,Female,55.0,United States,Masters,Other (Please Specify):Race isn't a thing,41.0,65.0
99,62a348c2f3072dd892623c10,2022-06-10,0:01:56,Data Analyst,No,95.5,Other (Please Specify):Biotech,R,8.0,10.0,8.0,7.0,8.0,10.0,Very Easy,Remote Work,Female,30.0,United States,Masters,White or Caucasian,86.0,105.0
100,62a348f2f8d5efcc22f7e2ba,2022-06-10,0:01:10,Data Analyst,Yes,53.0,Other (Please Specify):Consulting,Python,9.0,9.0,9.0,9.0,7.0,4.0,Difficult,Better Salary,Male,25.0,Canada,Bachelors,Asian or Asian American,41.0,65.0
101,62a349160a77c1a77f65d4db,2022-06-10,0:00:28,Data Analyst,Yes,75.5,Other (Please Specify):Consumer Elec,Python,6.0,9.0,7.0,6.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,28.0,United States,Masters,White or Caucasian,66.0,85.0
